date,open,high,low,close,volume,per,pbr,roe,market_kospi_ma5_ratio,market_kospi_ma20_ratio,market_kospi_ma60_ratio,market_kospi_ma120_ratio,bond_k3y_ma5_ratio,bond_k3y_ma20_ratio,bond_k3y_ma60_ratio,bond_k3y_ma120_ratio
20160718,30360,30660,30000,30660,11567200,9.35,1.25,14.08,0.999409677,1.023299843,1.012498198,1.024559967,0.999414836,1.000637708,1.002725509,1.004486023
20160719,30560,30800,30440,30660,10122250,9.35,1.25,14.08,1.000737947,1.024509371,1.014702769,1.026353481,1,1.001031759,1.003305516,1.005072939
20160720,30660,30840,30480,30800,7773150,9.35,1.25,14.08,1.003747173,1.02702493,1.018395619,1.029710549,1.000369073,1.001121566,1.003573116,1.005341982
20160721,30800,30940,30740,30860,8544700,9.35,1.25,14.08,1.006776074,1.029381817,1.022750156,1.033887654,1.000216059,1.000659721,1.003249956,1.005020732
20160722,30120,30560,30120,30320,8585150,9.35,1.25,14.08,1.003879042,1.024044465,1.02177764,1.032680322,1.000252043,1.000684413,1.003288013,1.005069668
20160725,30000,30460,29900,30040,7732500,9.35,1.25,14.08,0.999067508,1.016130747,1.017918575,1.028543111,1.000098997,1.000646086,1.003238802,1.005028155
20160726,30000,30620,29960,30600,7228500,9.35,1.25,14.08,0.998853053,1.01339802,1.018414211,1.028883472,0.999964003,1.000447935,1.003064003,1.004848728
20160727,30240,30580,30240,30540,6335050,9.35,1.25,14.08,0.99385902,1.004953187,1.012159547,1.022369703,1.000278968,1.000688702,1.003337538,1.005129032
20160728,30660,30720,29960,30140,9503700,9.35,1.25,14.08,0.998901451,1.006738987,1.015712908,1.02606511,1.000584822,1.001068941,1.003726028,1.005554011
20160729,30400,31140,30220,30780,14985600,9.35,1.25,14.08,1.00276301,1.008672174,1.019077379,1.029384184,1.000170931,1.000668312,1.003325617,1.005170135
20160801,31380,31600,31200,31360,11515400,9.35,1.25,14.08,0.999536909,1.003956738,1.015207923,1.025427387,1.000476717,1.001082263,1.003739697,1.005603007
20160802,31360,31360,30920,30960,8315800,9.35,1.25,14.08,0.996805807,0.999351275,1.01091908,1.021104036,1.000233815,1.000971948,1.003619859,1.005494549
20160803,30960,30960,30340,30340,7504900,9.35,1.25,14.08,0.993919662,0.994764206,1.007244126,1.0171353,0.999352471,0.999986501,1.002604558,1.004488953
20160804,30380,30660,30340,30340,7009950,9.35,1.25,14.08,0.999287904,0.999129229,1.012131303,1.021345505,0.999622224,1.000112488,1.00268034,1.004583683
